# Simulation 1 (Up to date)
# 357 data points written for 12 variables.
#
# Tempo (s),Altitude (m),Número de Mach (​),Número de Reynolds (​),Coeficiente de arrasto (​),Coeficiente de arrasto axial (​),Coeficiente de arrasto de atrito (​),Coeficiente de arrasto de pressão (​),Coeficiente de arrasto de base (​),Coeficiente de força normal (​),Temperatura do ar (°C),Pressão do ar (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.004,0.002,2.034e4,0.792,0.792,0.499,0.173,0.12,NaN,19.394,901.473
0.02,0.015,0.004,4.208e4,0.695,0.695,0.399,0.176,0.12,NaN,19.394,901.473
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.034,0.007,6.369e4,0.653,0.653,0.355,0.178,0.12,NaN,19.394,901.473
0.04,0.061,0.009,8.533e4,0.628,0.628,0.329,0.179,0.12,NaN,19.394,901.472
0.05,0.096,0.011,1.07e5,0.611,0.611,0.31,0.181,0.12,NaN,19.394,901.471
0.06,0.139,0.014,1.287e5,0.598,0.598,0.296,0.182,0.12,NaN,19.394,901.47
0.07,0.189,0.016,1.504e5,0.588,0.588,0.285,0.183,0.12,NaN,19.394,901.469
0.08,0.248,0.018,1.722e5,0.58,0.58,0.276,0.184,0.12,NaN,19.394,901.468
0.09,0.314,0.02,1.939e5,0.573,0.573,0.268,0.185,0.12,NaN,19.394,901.467
0.1,0.388,0.023,2.157e5,0.568,0.568,0.261,0.186,0.12,NaN,19.393,901.465
0.11,0.47,0.025,2.376e5,0.563,0.563,0.255,0.187,0.12,NaN,19.393,901.463
0.12,0.56,0.027,2.594e5,0.558,0.558,0.25,0.188,0.12,NaN,19.393,901.462
0.13,0.658,0.03,2.813e5,0.555,0.555,0.246,0.188,0.12,NaN,19.393,901.459
0.14,0.762,0.032,3.028e5,0.551,0.551,0.242,0.189,0.12,NaN,19.393,901.457
0.149,0.866,0.034,3.228e5,0.548,0.548,0.238,0.19,0.12,NaN,19.393,901.455
0.157,0.968,0.036,3.416e5,0.546,0.546,0.235,0.19,0.12,NaN,19.393,901.453
# Event LAUNCHROD occurred at t=0.166 seconds
0.166,1.071,0.038,3.593e5,0.544,0.544,0.233,0.191,0.12,NaN,19.392,901.451
0.178,1.235,0.041,3.86e5,0.541,0.541,0.229,0.191,0.12,1.303e-5,19.392,901.447
0.196,1.502,0.045,4.261e5,0.537,0.537,0.225,0.192,0.12,3.116e-5,19.392,901.442
0.223,1.953,0.051,4.864e5,0.533,0.533,0.219,0.193,0.121,5.603e-5,19.391,901.432
0.264,2.741,0.061,5.771e5,0.527,0.527,0.212,0.195,0.121,8.556e-5,19.39,901.416
0.314,3.887,0.073,6.885e5,0.522,0.522,0.205,0.197,0.121,1.118e-4,19.388,901.391
0.364,5.236,0.085,8.005e5,0.519,0.519,0.199,0.198,0.121,1.478e-4,19.386,901.363
0.414,6.788,0.096,9.129e5,0.516,0.516,0.195,0.199,0.121,1.494e-4,19.384,901.33
0.464,8.544,0.108,1.026e6,0.513,0.513,0.191,0.201,0.122,1.285e-4,19.381,901.293
0.514,10.505,0.12,1.139e6,0.511,0.511,0.187,0.202,0.122,1.693e-4,19.378,901.252
0.564,12.672,0.132,1.253e6,0.509,0.509,0.184,0.203,0.122,1.194e-4,19.375,901.206
0.614,15.046,0.144,1.367e6,0.508,0.508,0.181,0.204,0.123,6.643e-5,19.371,901.156
0.664,17.627,0.157,1.481e6,0.507,0.507,0.179,0.205,0.123,9.747e-5,19.367,901.101
0.714,20.415,0.169,1.596e6,0.506,0.506,0.177,0.206,0.124,7.584e-5,19.363,901.042
0.764,23.411,0.181,1.711e6,0.506,0.506,0.175,0.207,0.124,1.974e-4,19.359,900.979
0.814,26.616,0.193,1.826e6,0.505,0.505,0.173,0.207,0.125,1.722e-4,19.354,900.911
0.864,30.03,0.205,1.941e6,0.505,0.505,0.171,0.208,0.126,1.811e-4,19.349,900.839
0.914,33.653,0.217,2.057e6,0.505,0.505,0.169,0.209,0.126,1.183e-4,19.343,900.763
0.964,37.485,0.23,2.172e6,0.505,0.505,0.168,0.21,0.127,3.408e-4,19.337,900.682
1.014,41.527,0.242,2.287e6,0.505,0.505,0.166,0.211,0.128,1.802e-4,19.331,900.597
1.064,45.777,0.254,2.403e6,0.505,0.505,0.165,0.212,0.129,3.627e-4,19.325,900.507
1.114,50.237,0.266,2.518e6,0.505,0.505,0.164,0.212,0.129,2.586e-4,19.318,900.413
1.164,54.906,0.278,2.633e6,0.506,0.506,0.162,0.213,0.13,3.962e-4,19.311,900.314
1.214,59.784,0.29,2.748e6,0.506,0.506,0.161,0.214,0.131,2.208e-4,19.303,900.211
1.264,64.869,0.303,2.862e6,0.507,0.507,0.16,0.215,0.132,4.801e-4,19.296,900.104
1.314,70.163,0.315,2.976e6,0.508,0.508,0.159,0.216,0.133,9.446e-5,19.288,899.992
1.364,75.664,0.327,3.09e6,0.508,0.508,0.158,0.217,0.134,5.45e-4,19.279,899.876
1.414,81.371,0.339,3.204e6,0.509,0.509,0.157,0.217,0.135,5.594e-4,19.271,899.755
1.464,87.284,0.351,3.317e6,0.51,0.51,0.156,0.218,0.136,1.399e-4,19.262,899.631
1.514,93.401,0.363,3.429e6,0.511,0.511,0.155,0.219,0.137,3.815e-4,19.253,899.501
1.564,99.723,0.375,3.541e6,0.513,0.513,0.154,0.22,0.138,6.63e-4,19.243,899.368
1.614,106.247,0.386,3.65e6,0.514,0.514,0.153,0.221,0.14,2.458e-4,19.195,898.72
# Event BURNOUT occurred at t=1.651 seconds
# Event EJECTION_CHARGE occurred at t=1.651 seconds
1.651,111.199,0.395,3.73e6,0.515,0.515,0.153,0.221,0.14,1.445e-4,19.158,898.212
1.701,117.933,0.391,3.687e6,0.514,0.514,0.153,0.221,0.14,5.756e-4,19.107,897.52
1.751,124.594,0.386,3.646e6,0.514,0.514,0.153,0.221,0.14,4.391e-4,19.056,896.836
1.801,131.184,0.382,3.605e6,0.513,0.513,0.154,0.221,0.139,5.876e-4,19.006,896.159
1.851,137.702,0.378,3.565e6,0.513,0.513,0.154,0.22,0.139,5.081e-4,18.957,895.489
1.901,144.15,0.374,3.525e6,0.513,0.513,0.154,0.22,0.138,5.056e-5,18.908,894.827
1.951,150.53,0.37,3.486e6,0.512,0.512,0.155,0.22,0.138,5.577e-4,18.86,894.172
2.001,156.842,0.366,3.447e6,0.512,0.512,0.155,0.219,0.138,4.475e-4,18.812,893.523
2.051,163.087,0.363,3.41e6,0.511,0.511,0.155,0.219,0.137,2.948e-4,18.765,892.882
2.101,169.266,0.359,3.372e6,0.511,0.511,0.155,0.219,0.137,5.687e-4,18.718,892.247
2.151,175.38,0.355,3.335e6,0.511,0.511,0.156,0.218,0.137,4.328e-4,18.672,891.619
2.201,181.43,0.351,3.299e6,0.51,0.51,0.156,0.218,0.136,5.982e-5,18.626,890.998
2.251,187.417,0.348,3.263e6,0.51,0.51,0.156,0.218,0.136,3.367e-4,18.58,890.383
2.301,193.342,0.344,3.228e6,0.51,0.51,0.157,0.218,0.136,3.514e-4,18.536,889.774
2.351,199.205,0.341,3.193e6,0.51,0.51,0.157,0.217,0.135,9.858e-5,18.491,889.172
2.401,205.007,0.337,3.159e6,0.509,0.509,0.157,0.217,0.135,2.546e-4,18.447,888.576
2.451,210.75,0.334,3.125e6,0.509,0.509,0.158,0.217,0.135,3.133e-4,18.404,887.986
2.501,216.433,0.33,3.092e6,0.509,0.509,0.158,0.217,0.134,3.804e-4,18.361,887.402
2.551,222.058,0.327,3.059e6,0.509,0.509,0.158,0.216,0.134,2.847e-4,18.318,886.825
2.601,227.625,0.324,3.026e6,0.508,0.508,0.158,0.216,0.134,2.397e-4,18.276,886.253
2.651,233.135,0.32,2.994e6,0.508,0.508,0.159,0.216,0.134,2.584e-4,18.234,885.687
2.701,238.589,0.317,2.963e6,0.508,0.508,0.159,0.216,0.133,2.967e-4,18.193,885.127
2.751,243.987,0.314,2.931e6,0.508,0.508,0.159,0.215,0.133,2.38e-4,18.152,884.572
2.801,249.33,0.311,2.9e6,0.508,0.508,0.16,0.215,0.133,3.767e-4,18.112,884.023
2.851,254.619,0.307,2.87e6,0.507,0.507,0.16,0.215,0.133,3.26e-4,18.071,883.48
2.901,259.854,0.304,2.84e6,0.507,0.507,0.16,0.215,0.132,5.619e-4,18.032,882.942
2.951,265.036,0.301,2.81e6,0.507,0.507,0.16,0.215,0.132,5.59e-4,17.993,882.41
3.001,270.165,0.298,2.781e6,0.507,0.507,0.161,0.214,0.132,2.353e-4,17.954,881.883
3.051,275.243,0.295,2.751e6,0.507,0.507,0.161,0.214,0.132,1.876e-4,17.915,881.361
3.101,280.27,0.292,2.723e6,0.507,0.507,0.161,0.214,0.131,5.15e-4,17.877,880.845
3.151,285.245,0.289,2.694e6,0.506,0.506,0.162,0.214,0.131,2.375e-4,17.839,880.334
3.201,290.17,0.287,2.666e6,0.506,0.506,0.162,0.214,0.131,4.313e-4,17.802,879.828
3.251,295.046,0.284,2.638e6,0.506,0.506,0.162,0.213,0.131,2.424e-4,17.765,879.327
3.301,299.873,0.281,2.611e6,0.506,0.506,0.162,0.213,0.13,2.561e-4,17.729,878.832
3.351,304.651,0.278,2.584e6,0.506,0.506,0.163,0.213,0.13,2.455e-4,17.692,878.341
3.401,309.38,0.275,2.557e6,0.506,0.506,0.163,0.213,0.13,2.026e-4,17.657,877.855
3.451,314.062,0.272,2.53e6,0.506,0.506,0.163,0.213,0.13,2.821e-4,17.621,877.374
3.501,318.697,0.27,2.504e6,0.506,0.506,0.164,0.212,0.13,1.831e-4,17.586,876.898
3.551,323.285,0.267,2.478e6,0.506,0.506,0.164,0.212,0.129,4.672e-4,17.551,876.427
3.601,327.827,0.264,2.452e6,0.506,0.506,0.164,0.212,0.129,3.901e-4,17.517,875.96
3.651,332.323,0.262,2.427e6,0.506,0.506,0.165,0.212,0.129,2.205e-4,17.483,875.498
3.701,336.774,0.259,2.401e6,0.505,0.505,0.165,0.212,0.129,3.281e-4,17.449,875.041
3.751,341.18,0.256,2.376e6,0.505,0.505,0.165,0.212,0.129,3.16e-4,17.416,874.589
3.801,345.541,0.254,2.352e6,0.505,0.505,0.165,0.211,0.129,6.796e-5,17.383,874.141
3.851,349.858,0.251,2.327e6,0.505,0.505,0.166,0.211,0.128,4.021e-4,17.35,873.697
