# Simulation 1 (Up to date)
# 369 data points written for 12 variables.
#
# Tempo (s),Altitude (m),Número de Mach (​),Número de Reynolds (​),Coeficiente de arrasto (​),Coeficiente de arrasto axial (​),Coeficiente de arrasto de atrito (​),Coeficiente de arrasto de pressão (​),Coeficiente de arrasto de base (​),Coeficiente de força normal (​),Temperatura do ar (°C),Pressão do ar (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.004,0.002,2.048e4,0.782,0.782,0.498,0.164,0.12,NaN,19.394,901.473
0.02,0.015,0.004,4.238e4,0.683,0.683,0.399,0.164,0.12,NaN,19.394,901.473
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.034,0.007,6.415e4,0.639,0.639,0.355,0.164,0.12,NaN,19.394,901.473
0.04,0.062,0.009,8.594e4,0.612,0.612,0.328,0.164,0.12,NaN,19.394,901.472
0.05,0.097,0.011,1.078e5,0.594,0.594,0.309,0.164,0.12,NaN,19.394,901.471
0.06,0.14,0.014,1.296e5,0.58,0.58,0.295,0.164,0.12,NaN,19.394,901.47
0.07,0.191,0.016,1.515e5,0.568,0.568,0.284,0.164,0.12,NaN,19.394,901.469
0.08,0.25,0.018,1.734e5,0.559,0.559,0.275,0.164,0.12,NaN,19.394,901.468
0.09,0.316,0.021,1.953e5,0.552,0.552,0.267,0.164,0.12,NaN,19.394,901.467
0.1,0.391,0.023,2.173e5,0.545,0.545,0.261,0.164,0.12,NaN,19.393,901.465
0.11,0.474,0.025,2.393e5,0.539,0.539,0.255,0.164,0.12,NaN,19.393,901.463
0.12,0.564,0.028,2.613e5,0.534,0.534,0.25,0.164,0.12,NaN,19.393,901.461
0.13,0.663,0.03,2.833e5,0.53,0.53,0.245,0.164,0.12,NaN,19.393,901.459
0.14,0.767,0.032,3.048e5,0.526,0.526,0.241,0.164,0.12,NaN,19.393,901.457
0.149,0.87,0.034,3.248e5,0.522,0.522,0.238,0.164,0.12,NaN,19.393,901.455
0.157,0.973,0.036,3.436e5,0.519,0.519,0.235,0.164,0.12,NaN,19.393,901.453
# Event LAUNCHROD occurred at t=0.165 seconds
0.165,1.076,0.038,3.614e5,0.517,0.517,0.232,0.164,0.12,NaN,19.392,901.451
0.177,1.239,0.041,3.881e5,0.513,0.513,0.229,0.164,0.12,1.296e-5,19.392,901.447
0.195,1.507,0.045,4.283e5,0.509,0.509,0.224,0.164,0.12,3.099e-5,19.392,901.442
0.223,1.957,0.052,4.886e5,0.503,0.503,0.219,0.164,0.121,5.573e-5,19.391,901.432
0.263,2.743,0.061,5.795e5,0.496,0.496,0.212,0.164,0.121,8.782e-5,19.39,901.415
0.313,3.895,0.073,6.917e5,0.49,0.49,0.205,0.164,0.121,1.27e-4,19.388,901.391
0.363,5.25,0.085,8.045e5,0.485,0.485,0.199,0.164,0.121,1.208e-4,19.386,901.363
0.413,6.81,0.097,9.179e5,0.48,0.48,0.195,0.164,0.121,1.128e-4,19.384,901.33
0.463,8.576,0.109,1.032e6,0.477,0.477,0.191,0.164,0.122,1.111e-4,19.381,901.292
0.513,10.549,0.121,1.146e6,0.474,0.474,0.187,0.164,0.122,1.586e-4,19.378,901.251
0.563,12.73,0.133,1.261e6,0.471,0.471,0.184,0.164,0.123,8.42e-5,19.375,901.205
0.613,15.118,0.145,1.376e6,0.469,0.469,0.181,0.164,0.123,1.012e-4,19.371,901.154
0.663,17.716,0.158,1.491e6,0.467,0.467,0.179,0.165,0.123,6.911e-5,19.367,901.099
0.713,20.523,0.17,1.607e6,0.465,0.465,0.177,0.165,0.124,1.164e-4,19.363,901.04
0.763,23.541,0.182,1.723e6,0.464,0.464,0.174,0.165,0.125,1.951e-4,19.358,900.976
0.813,26.77,0.194,1.84e6,0.463,0.463,0.173,0.165,0.125,9.601e-5,19.354,900.908
0.863,30.209,0.207,1.956e6,0.462,0.462,0.171,0.165,0.126,1.022e-4,19.348,900.836
0.913,33.861,0.219,2.073e6,0.461,0.461,0.169,0.165,0.126,8.365e-5,19.343,900.759
0.963,37.724,0.231,2.19e6,0.46,0.46,0.167,0.165,0.127,2.24e-4,19.337,900.677
1.013,41.799,0.244,2.307e6,0.459,0.459,0.166,0.166,0.128,1.589e-4,19.331,900.591
1.063,46.086,0.256,2.424e6,0.459,0.459,0.165,0.166,0.129,2.037e-4,19.324,900.5
1.113,50.586,0.269,2.541e6,0.459,0.459,0.163,0.166,0.13,3.93e-4,19.317,900.405
1.163,55.298,0.281,2.657e6,0.459,0.459,0.162,0.166,0.13,4.046e-4,19.31,900.306
1.213,60.222,0.293,2.774e6,0.459,0.459,0.161,0.166,0.131,1.81e-4,19.303,900.202
1.263,65.357,0.306,2.891e6,0.459,0.459,0.16,0.167,0.132,4.897e-4,19.295,900.094
1.313,70.705,0.318,3.007e6,0.459,0.459,0.159,0.167,0.133,2.81e-4,19.287,899.981
1.363,76.264,0.33,3.123e6,0.459,0.459,0.158,0.167,0.134,4.904e-4,19.279,899.863
1.413,82.033,0.343,3.239e6,0.459,0.459,0.157,0.167,0.135,5.346e-4,19.27,899.741
1.463,88.012,0.355,3.355e6,0.46,0.46,0.156,0.168,0.137,7.734e-5,19.261,899.615
1.513,94.202,0.367,3.47e6,0.46,0.46,0.155,0.168,0.138,2.025e-4,19.251,899.485
1.563,100.599,0.379,3.584e6,0.461,0.461,0.154,0.168,0.139,7.187e-4,19.238,899.301
1.613,107.205,0.391,3.697e6,0.462,0.462,0.153,0.169,0.14,2.882e-4,19.188,898.622
# Event BURNOUT occurred at t=1.651 seconds
# Event EJECTION_CHARGE occurred at t=1.651 seconds
1.651,112.334,0.4,3.78e6,0.462,0.462,0.152,0.169,0.141,2.214e-4,19.149,898.095
1.701,119.161,0.396,3.739e6,0.462,0.462,0.153,0.169,0.141,5.881e-4,19.097,897.394
1.751,125.919,0.392,3.7e6,0.462,0.462,0.153,0.169,0.14,4.114e-5,19.046,896.7
1.801,132.608,0.388,3.66e6,0.462,0.462,0.153,0.169,0.14,6.925e-4,18.996,896.013
1.851,139.229,0.384,3.622e6,0.461,0.461,0.153,0.169,0.139,7.532e-5,18.945,895.333
1.901,145.784,0.381,3.584e6,0.461,0.461,0.154,0.168,0.139,7.578e-4,18.896,894.659
1.951,152.272,0.377,3.546e6,0.461,0.461,0.154,0.168,0.139,4.652e-4,18.847,893.993
2.001,158.695,0.373,3.509e6,0.461,0.461,0.154,0.168,0.138,4.796e-5,18.798,893.333
2.051,165.054,0.369,3.472e6,0.461,0.461,0.155,0.168,0.138,4.365e-4,18.75,892.68
2.101,171.349,0.366,3.436e6,0.461,0.461,0.155,0.168,0.138,5.279e-4,18.702,892.033
2.151,177.582,0.362,3.401e6,0.46,0.46,0.155,0.168,0.137,3.33e-4,18.655,891.393
2.201,183.753,0.358,3.365e6,0.46,0.46,0.155,0.168,0.137,5.237e-4,18.608,890.759
2.251,189.862,0.355,3.331e6,0.46,0.46,0.156,0.168,0.137,6.552e-4,18.562,890.132
2.301,195.912,0.351,3.297e6,0.46,0.46,0.156,0.168,0.136,9.538e-4,18.516,889.51
2.351,201.902,0.348,3.263e6,0.46,0.46,0.156,0.168,0.136,3.557e-4,18.471,888.895
2.401,207.833,0.345,3.229e6,0.46,0.46,0.157,0.167,0.136,2.504e-4,18.426,888.286
2.451,213.705,0.341,3.196e6,0.46,0.46,0.157,0.167,0.135,4.94e-4,18.381,887.683
2.501,219.52,0.338,3.164e6,0.46,0.46,0.157,0.167,0.135,5.756e-4,18.337,887.085
2.551,225.279,0.335,3.132e6,0.459,0.459,0.157,0.167,0.135,3.029e-4,18.294,886.494
2.601,230.981,0.331,3.1e6,0.459,0.459,0.158,0.167,0.134,4.22e-4,18.25,885.908
2.651,236.628,0.328,3.069e6,0.459,0.459,0.158,0.167,0.134,3.073e-4,18.208,885.328
2.701,242.219,0.325,3.038e6,0.459,0.459,0.158,0.167,0.134,1.915e-4,18.165,884.754
2.751,247.757,0.322,3.007e6,0.459,0.459,0.159,0.167,0.134,5.646e-4,18.123,884.185
2.801,253.24,0.319,2.977e6,0.459,0.459,0.159,0.167,0.133,6.077e-4,18.082,883.622
2.851,258.671,0.316,2.947e6,0.459,0.459,0.159,0.167,0.133,3.245e-4,18.041,883.064
2.901,264.049,0.313,2.917e6,0.459,0.459,0.159,0.167,0.133,4.496e-4,18,882.511
2.951,269.374,0.31,2.888e6,0.459,0.459,0.16,0.167,0.133,2.098e-4,17.96,881.964
3.001,274.649,0.307,2.859e6,0.459,0.459,0.16,0.167,0.132,5.94e-4,17.92,881.423
3.051,279.872,0.304,2.83e6,0.459,0.459,0.16,0.167,0.132,3.836e-4,17.88,880.886
3.101,285.045,0.301,2.802e6,0.459,0.459,0.161,0.166,0.132,5.934e-4,17.841,880.355
3.151,290.168,0.298,2.774e6,0.459,0.459,0.161,0.166,0.132,2.644e-4,17.802,879.828
